年份,地区,地区_归一化,文本总词频,环境规制强度_Z1,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,人均地区生产总值（元）,地区生产总值（万元）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）
2020,上海市,上海,4963,1.450735442272819,72,5,17,13,37,155800.0,387010000.0,73.15,69.95066,682.11459,868.08744,868.08744,10000.0,73381.0
2021,上海市,上海,6190,1.1631663974151858,72,5,14,20,33,173600.0,432150000.0,73.28,80.5721,734.9427,955.0591,955.0591,10454.0,233132.0
2022,上海市,上海,6477,1.4358499305233905,93,7,29,21,36,179900.0,446530000.0,74.12,16.4882,664.35622,876.24553,890.12701,10054.0,61918.0
2023,上海市,上海,7073,1.343135868796833,95,9,33,20,33,190300.0,472190000.0,75.2,0.0,586.8527,974.8061,974.8063,10282.0,100322.0
2013,东莞市,东莞,4179,1.4357501794687724,60,4,4,15,37,60842.92665,54900207.0,53.75,58.5,184.14,242.65,380.84,2379.0,
2014,东莞市,东莞,4803,1.499063085571518,72,12,9,20,31,70605.0,58813173.0,52.14,59.12,193.14,252.27,380.08,2532.0,4314.0
2015,东莞市,东莞,5466,1.262349066959385,69,10,10,16,33,75616.0,62750737.0,53.1,66.46,225.85,292.31,390.43,2723.0,16280.0
2016,东莞市,东莞,5424,1.2536873156342183,68,12,17,14,25,82682.0,68276868.0,53.17,72.15,231.22,303.36,303.37,2865.0,4402.0
2017,东莞市,东莞,7385,1.5165876777251186,112,22,12,28,50,91329.0,75820900.0,,61.21,331.36,392.57,392.57,3690.0,4822.0
2018,东莞市,东莞,6817,1.3935748863136277,95,18,5,25,47,98939.0,82785920.0,51.05,50.20019,412.71054,462.91073,462.91073,3709.0,6476.93
2019,东莞市,东莞,6961,1.5084039649475651,105,20,6,25,54,112507.0,94820000.0,43.16,50.21621,432.55527,482.77148,482.77148,3242.0,47.0
2020,东莞市,东莞,4468,0.8952551477170994,40,4,6,6,24,92176.0,96500000.0,45.88,16.8788,472.7356,489.6144,489.6144,4514.0,6357.47
2021,东莞市,东莞,7617,1.4047525272416963,107,16,12,28,51,103284.0,108550000.0,41.46,5.50154,500.75354,529.18222,529.18222,3049.0,5571.0
2022,东莞市,东莞,6406,1.5922572588198562,102,10,28,22,42,106803.0,112000000.0,41.52,0.0,505.584,537.42496,537.42496,2966.0,2080.0
2023,东莞市,东莞,5323,1.1647567161375163,62,6,17,10,29,109339.0,114380000.0,43.05,0.0,494.73487,538.06349,538.06349,3289.0,1250.0
2013,中山市,中山,4367,1.3510419051980764,59,10,15,17,17,67972.59866,26389329.0,42.0,,24.16,24.16,24.16,456.0,185.0
2014,中山市,中山,4567,1.9049704401138603,87,6,15,30,36,88682.0,28230069.0,42.34,,25.3,25.3,25.3,526.0,
2015,中山市,中山,4589,1.590760514273262,73,11,12,23,27,94030.0,30100326.0,43.55,,24.97,24.97,24.97,595.0,7040.0
2016,中山市,中山,5397,1.6675931072818233,90,6,18,28,38,99471.0,32027780.0,45.5,,26.37,26.37,26.37,776.0,3301.0
2017,中山市,中山,5466,1.7929015733626052,98,5,15,32,46,105711.3,34303100.0,,,26.92,26.92,26.92,706.0,10415.0
2018,中山市,中山,6469,1.607667336528057,104,11,18,20,55,110585.0,36327013.0,49.3,0.0,0.0,0.0,,278.0,455.0
2019,中山市,中山,6061,1.7158884672496286,104,16,11,37,40,92709.0,31010000.0,48.91,23.06973,140.61357,163.6833,163.6833,1022.0,17139.5
2020,中山市,中山,4467,1.4103425117528543,63,14,3,15,31,71478.0,31520000.0,48.32,0.0,52.98357,52.98357,52.98357,1191.0,27581.47
2021,中山市,中山,7453,1.046558432845834,78,15,12,25,26,80157.0,35660000.0,48.07,0.0,75.12346,75.12346,75.12346,1196.0,2155.0
2022,中山市,中山,5480,1.6970802919708028,93,21,20,22,30,81950.0,36310000.0,48.11,0.0,35.21943,35.21943,36.74392,1071.0,2.0
2023,中山市,中山,5618,1.4595941616233536,82,15,19,18,30,86636.0,38510000.0,46.5,0.0,35.22571,39.13547,39.1355,1132.0,246.0
2013,临沂市,临沂,6177,1.6998542982030111,105,16,17,38,34,30613.0,33368100.0,43.07,14.27,52.91,67.18,67.18,423.0,696.0
2014,临沂市,临沂,4681,1.6663106173894469,78,15,18,21,24,35032.0,35698000.0,44.26,34.35,27.7,62.05,62.05,518.0,28838.0
2015,临沂市,临沂,4836,1.282051282051282,62,8,8,15,31,36656.0,37631700.0,45.96,47.23,38.97,86.2,86.2,536.0,7841.0
2016,临沂市,临沂,4928,1.461038961038961,72,9,18,18,27,38803.0,40267500.0,47.97,48.01,39.77,88.07,88.07,526.0,12228.0
2017,临沂市,临沂,4741,1.3077409829149969,62,9,12,22,19,41227.0,43301100.0,,52.5,34.16,92.17,92.17,459.0,2544.0
2018,临沂市,临沂,4407,1.4749262536873156,65,8,10,24,23,44534.0,47178000.0,49.16,15.21315,60.74454,83.43139,83.43139,475.0,35151.35
2019,临沂市,临沂,4879,1.0657921705267477,52,5,7,18,22,43213.0,46000000.0,53.22,5.67783,76.92557,89.699,89.699,523.0,9878.55
2020,临沂市,临沂,6928,1.1836027713625863,82,14,12,19,37,43582.0,48050000.0,54.28,0.0,90.06377,94.8796,94.8796,482.0,3986.0
2021,临沂市,临沂,6898,0.8263264714409974,57,7,6,17,27,49585.0,54660000.0,52.41,0.0,102.04377,108.25331,108.25331,511.0,16665.0
2022,临沂市,临沂,6258,1.2304250559284116,77,13,20,26,18,52502.0,57790000.0,51.45,0.0,97.06462,100.62412,100.62413,498.0,729.0
2023,临沂市,临沂,4973,1.1260808365171928,56,7,18,17,14,55661.0,61050000.0,52.44,0.0,94.81344,101.8157,101.81579,533.0,1621.0
2014,乌鲁木齐市,乌鲁木齐,5944,1.463660834454913,87,9,13,28,37,70428.0,24614698.0,62.08,125.97,,125.97,136.3,2666.0,180898.0
2015,乌鲁木齐市,乌鲁木齐,5348,1.5332834704562457,82,10,12,18,42,74340.0,26316398.0,68.88,132.73,,132.73,138.55,2997.0,53014.0
2016,乌鲁木齐市,乌鲁木齐,7038,1.5203182722364308,107,11,20,27,49,69865.0,24589766.0,70.22,138.81,,138.81,145.06,3279.0,39118.0
2017,乌鲁木齐市,乌鲁木齐,7072,1.2160633484162895,86,13,18,30,25,77756.0,27306455.0,,141.4,,143.81,154.44,3292.0,12840.0
2018,乌鲁木齐市,乌鲁木齐,6750,1.4370370370370371,97,6,13,37,41,87196.0,30997659.0,68.59,159.98384,0.0,162.43702,162.4838,4296.0,138028.78
2019,乌鲁木齐市,乌鲁木齐,7014,1.924721984602224,135,19,19,40,57,96723.0,34130000.0,72.65,143.0971,0.0,149.29568,149.29568,4635.0,
2020,乌鲁木齐市,乌鲁木齐,6962,1.6087331226659007,112,17,11,37,47,82314.0,33370000.0,71.98,128.18095,0.0,132.22855,132.22855,4636.0,70745.0
2021,乌鲁木齐市,乌鲁木齐,9372,1.1843790012804098,111,12,26,28,45,90794.0,36920000.0,71.07,83.00955,65.61031,154.70979,154.70979,5237.0,33527.0
2022,乌鲁木齐市,乌鲁木齐,7802,1.6534221994360423,129,7,42,34,46,95559.0,38930000.0,70.09,45.8667,90.611,140.5036,140.5036,4213.0,0.0
2023,乌鲁木齐市,乌鲁木齐,5037,2.243398848520945,113,13,36,32,32,102078.0,41680000.0,71.7,61.96894,101.26759,170.13192,170.13192,4214.0,0.0
2013,九江市,九江,6616,1.5114873035066507,100,9,12,30,49,31530.0,16017317.0,35.8,21.24,,21.24,21.24,139.0,3521.0
2014,九江市,九江,5590,1.162790697674419,65,11,11,21,22,37097.0,17799599.0,36.98,21.62,,21.62,21.62,154.0,2995.0
2015,九江市,九江,5824,1.8028846153846152,105,11,12,34,48,39505.0,19026783.0,39.28,21.57,,21.57,21.57,228.0,6284.0
2016,九江市,九江,6411,1.9497738262361568,125,8,24,55,38,43338.0,20961347.0,40.77,28.47,,28.47,28.47,247.0,5598.0
2017,九江市,九江,4555,2.261251372118551,103,7,19,32,45,54843.0,,,28.08,,28.08,28.08,282.0,1625.0
2018,九江市,九江,5378,2.026775753068055,109,8,20,34,47,55274.0,27001852.0,42.52,23.68211,0.0,23.68211,23.68181,301.0,48362.0
2019,九江市,九江,6677,1.9020518196794969,127,9,19,34,65,63584.0,31210000.0,44.83,27.89068,0.0,27.89068,27.89068,364.0,31365.5
2020,九江市,九江,6011,1.414074197304941,85,12,8,15,50,70340.0,32410000.0,45.6,28.15502,0.0,28.15502,28.15502,378.0,185680.0
2021,九江市,九江,6002,1.4995001666111296,90,14,17,27,32,81551.0,37360000.0,45.61,0.0,32.40753,32.40753,32.40753,432.0,1552.0
2022,九江市,九江,3994,1.6775162744116174,67,6,21,18,22,88318.0,40270000.0,45.73,0.0,31.95848,31.95848,31.95848,473.0,500.0
2023,九江市,九江,4332,1.9621421975992608,85,12,21,24,28,84566.0,38450000.0,49.94,0.0,33.6303,33.6303,33.6304,482.0,1264.0
2013,佛山市,佛山,6124,1.4206401045068584,87,4,18,22,43,87193.62593,70101725.0,36.1,62.72,11.27,73.99,74.47,1204.0,700.0
2014,佛山市,佛山,6334,1.61035680454689,102,10,24,25,43,101617.0,74415994.0,36.36,60.77,23.32,84.09,89.27,1115.0,64320.0
2015,佛山市,佛山,5586,1.6827783745076978,94,12,18,19,45,108299.0,80039186.0,37.83,72.86,20.98,93.84,93.84,1163.0,42008.0
2016,佛山市,佛山,6107,1.6210905518257737,99,9,19,28,43,115891.0,86300002.0,38.69,69.43,30.89,100.32,100.32,1640.0,42008.0
2017,佛山市,佛山,7255,1.3370089593383874,97,7,15,29,46,124324.0,93985300.0,,95.43,8.34,103.77,103.77,1128.0,87.0
2018,佛山市,佛山,7878,1.5993907083015997,126,11,26,32,57,127691.0,99358845.0,42.04,93.87569,19.16346,113.03914,113.03914,1127.0,
2019,佛山市,佛山,7696,1.5332640332640333,118,16,21,22,59,133850.0,107510000.0,42.32,94.2857,32.46128,126.74698,126.74708,1233.0,0.0
2020,佛山市,佛山,4827,1.0565568676196395,51,9,14,12,16,114157.0,108160000.0,42.13,87.80022,36.24649,127.26809,127.26809,1374.0,107207.0
2021,佛山市,佛山,7912,1.175429726996967,93,14,25,24,30,127085.0,121570000.0,42.27,82.91089,35.60708,124.86694,124.86694,1329.0,130809.0
2022,佛山市,佛山,7714,1.5685766139486648,121,14,29,40,38,132517.0,126980000.0,42.11,17.2907,98.0105,126.2456,126.2456,1467.0,12191.0
2023,佛山市,佛山,7987,1.4648804306998875,117,14,27,37,39,138526.0,132760000.0,41.68,16.98574,120.17014,149.70307,149.70307,1609.0,3825.0
2013,兰州市,兰州,2984,1.7091152815013406,51,10,10,12,19,48138.0,17762823.0,51.05,,,,119.59,972.0,18688.0
2014,兰州市,兰州,2489,1.004419445560466,25,8,7,3,7,54771.0,20009389.0,56.15,19.2,,19.2,96.96,1126.0,16226.0
2015,兰州市,兰州,3339,1.1680143755615455,39,13,7,0,19,56972.0,20959920.0,59.98,11.42,,11.42,98.36,1267.0,47434.0
2016,兰州市,兰州,3054,1.309757694826457,40,5,6,16,13,61207.0,22642318.0,62.44,11.08,21.35,32.43,96.08,1330.0,44053.0
2017,兰州市,兰州,6117,1.373222167729279,84,3,14,25,42,67269.26,25008019.2,,9.51,77.45,97.74,97.79,2683.0,4199.0
2019,兰州市,兰州,7814,1.7276682876887637,135,17,13,55,50,75217.0,28370000.0,64.87,10.52341,87.0459,112.69449,112.69449,3278.0,1498.0
2020,兰州市,兰州,6033,1.74042764793635,105,13,13,49,30,66680.0,28870000.0,65.68,9.29525,80.82238,105.32281,105.32281,3262.0,4585.0
2021,兰州市,兰州,7702,1.973513373149831,152,16,30,65,41,73807.0,32310000.0,63.6,17.75563,76.4106,109.70327,109.70327,3526.0,12558.0
2022,兰州市,兰州,7644,1.805337519623234,138,14,36,52,36,75992.0,33440000.0,63.64,17.64419,75.5096,101.75827,101.75827,3586.0,3466.0
2023,兰州市,兰州,6256,1.039002557544757,65,7,21,15,22,78894.0,34870000.0,65.77,24.134,80.0221,118.2284,118.2284,3793.0,11090.0
2013,北京市,北京,5981,1.7054004347099143,102,7,29,31,35,93213.0,195005600.0,76.85,489.93,97.84,666.96,671.69,9797.0,1283523.0
2014,北京市,北京,6040,1.7549668874172186,106,9,18,25,54,99995.0,213308300.0,77.95,488.57,156.11,730.83,733.84,10255.0,1971974.0
2015,北京市,北京,5638,1.7559418233416106,99,14,13,25,47,106497.0,230145900.0,79.65,325.77,209.38,622.42,790.33,10747.0,669182.0
2016,北京市,北京,6651,1.698992632686814,113,12,33,36,32,118198.0,256691300.0,80.23,472.8,272.47,871.2,872.61,11033.0,1613451.0
2017,北京市,北京,5410,2.292051756007394,124,19,15,35,55,128994.0,280149400.0,80.56,438.0,326.5,923.7,924.77,11520.0,1040059.0
2018,北京市,北京,6887,1.6988529112821258,117,9,12,43,53,140211.0,303199787.0,80.98,393.81298,399.69876,975.11725,975.12,12638.0,604826.0
2019,北京市,北京,6980,2.1060171919770774,147,13,18,40,76,164220.0,353710000.0,83.52,291.95,548.95,1010.91327,1011.16,12526.0,524052.0
2020,北京市,北京,8160,1.531862745098039,125,12,13,35,65,164889.0,361030000.0,83.87,111.64474,507.2141,797.51576,797.52,13403.0,205498.0
2021,北京市,北京,4876,1.4561115668580804,71,5,15,20,31,183980.0,402700000.0,81.67,57.26173,476.08113,784.22134,784.2215,12215.0,180544.0
2022,北京市,北京,4152,1.1560693641618496,48,1,8,17,22,190313.0,416110000.0,83.86,43.10378,491.15913,740.57005,740.5675,12159.0,219745.0
2023,北京市,北京,5410,1.478743068391867,80,5,20,32,23,200278.0,437610000.0,84.85,30.7725,545.0862,758.8457,758.85,12291.0,217967.0
2013,南京市,南京,5068,1.91397000789266,97,7,14,36,40,100307.0,80117800.0,54.38,227.43,,227.43,250.4,1327.0,242920.0
2014,南京市,南京,4963,1.934313923030425,96,12,11,25,48,107545.0,88207500.0,56.49,191.24,49.11,240.35,260.8,1526.0,101857.0
2015,南京市,南京,5699,2.0705386909984207,118,15,9,30,64,118171.0,97207700.0,57.32,72.04,166.63,238.67,238.68,1630.0,178796.0
2016,南京市,南京,6051,1.983143282102132,120,15,26,31,48,127264.0,105030200.0,58.39,64.28,148.43,212.72,212.72,1925.0,112355.0
2017,南京市,南京,6700,1.671641791044776,112,11,16,41,44,143258.0,117151000.0,,40.77,244.29,285.06,285.06,2212.0,60782.0
2018,南京市,南京,7797,1.7827369501090162,139,22,20,46,51,152886.0,128204000.0,61.04,11.1685,295.1742,311.1827,311.1827,2323.0,1770.0
2019,南京市,南京,6524,1.5174739423666463,99,14,11,23,51,165681.0,140310000.0,62.02,15.87839,304.952,325.63039,325.6304,2366.0,64365.0
2020,南京市,南京,6129,1.5663240332843855,96,11,4,23,58,159322.0,148180000.0,62.81,20.77445,300.72466,322.12837,322.13,2583.0,43900.0
2021,南京市,南京,6686,1.4507927011666168,97,15,12,26,44,174520.0,163560000.0,62.05,15.65321,273.01486,290.46161,290.46162,2609.0,25368.0
2022,南京市,南京,5816,1.3067400275103165,76,7,18,27,24,178781.0,169080000.0,62.24,0.0,275.32953,334.23465,334.23471,3774.0,11966.0
2023,南京市,南京,5917,1.673145174919723,99,9,32,25,33,183015.0,174210000.0,64.14,0.0,257.53283,363.06096,363.06096,4049.0,79984.0
2013,南充市,南充,2290,1.5283842794759823,35,7,5,12,11,17504.0,13285528.0,25.79,31.0,,31.0,35.61,93.0,6600.0
2014,南充市,南充,3602,0.7495835646862854,27,5,5,9,8,22639.0,14320202.0,27.85,17.95,18.0,35.95,36.28,96.0,43100.0
2015,南充市,南充,3296,1.0618932038834952,35,5,5,11,14,23881.0,15162016.0,29.0,18.1,18.84,36.94,36.95,100.0,6000.0
2016,南充市,南充,4290,0.9557109557109558,41,6,7,21,7,25871.0,16514004.0,32.44,18.41,21.9,40.31,40.31,110.0,3300.0
2017,南充市,南充,5924,1.637407157326131,97,11,21,48,17,28516.0,18278300.0,,10.38,33.28,43.67,43.67,130.0,6000.0
2018,南充市,南充,5147,1.3988731299786283,72,10,14,16,32,31203.0,20060333.0,39.89,11.1373,34.8787,46.016,46.016,150.0,10900.0
2019,南充市,南充,6195,1.3559322033898304,84,8,24,13,39,36073.0,23220000.0,42.22,8.9223,38.1017,47.024,47.024,162.0,29490.0
2020,南充市,南充,6366,1.4765944077913915,94,13,17,25,39,42482.0,24010000.0,42.9,17.008,33.3748,50.3828,50.3828,165.0,1370.0
2021,南充市,南充,7894,1.76083101089435,139,19,31,36,53,46589.0,26020000.0,42.58,13.2569,39.1431,52.4,52.4,170.0,860.0
2022,南充市,南充,6135,1.7277913610431948,106,15,26,28,37,48343.0,26850000.0,43.58,11.5057,40.8043,52.31,52.31,245.0,1920.0
2023,南充市,南充,6302,1.634401777213583,103,11,34,16,42,49453.0,27350000.0,46.75,1.7125,43.7152,45.4277,45.4277,346.0,5110.0
2014,南宁市,南宁,6398,1.14098155673648,73,11,5,24,33,43303.0,31482973.0,48.51,91.38,,91.38,91.38,1375.0,21868.0
2016,南宁市,南宁,9361,1.3246448029056723,124,20,12,41,51,52723.0,37033300.0,50.79,57.62,48.66,106.28,107.31,4748.0,56383.0
2017,南宁市,南宁,8605,1.1504938988959903,99,18,13,33,35,57948.0,41188293.0,,40.92,78.96,127.41,127.41,4874.0,7746.0
2018,南宁市,南宁,8483,1.3556524814334552,115,12,18,41,44,55901.0,40269053.0,59.1,52.0223,74.1157,126.138,126.138,4795.0,2897.0
2019,南宁市,南宁,6783,1.3121037888839746,89,15,13,19,42,61738.0,45070000.0,65.55,63.26791,79.1442,142.41212,142.41213,5261.0,9173.0
2020,南宁市,南宁,4524,0.6852343059239611,31,5,6,7,13,54669.0,47260000.0,65.76,73.4961,64.10679,137.60289,137.60289,4910.0,116185.96
2021,南宁市,南宁,6038,1.0268300761841669,62,8,18,15,21,58241.0,51210000.0,64.73,70.19594,83.23469,153.43063,153.43063,5012.0,67090.0
2022,南宁市,南宁,7863,1.2972148035101108,102,10,38,12,42,58883.0,52180000.0,65.81,6.176,159.6397,186.7537,186.7537,6962.0,0.0
2023,南宁市,南宁,7620,1.1548556430446193,88,6,42,15,25,61338.0,54690000.0,66.52,0.0,167.9422,192.5106,192.5106,7052.0,0.0
2013,南昌市,南昌,3660,1.8852459016393444,69,7,8,12,42,65412.0,33360265.0,39.82,65.35,,65.35,65.36,204.0,37318.0
2014,南昌市,南昌,4277,1.402852466682254,60,11,8,19,22,70373.0,36679635.0,40.57,57.63,,57.63,57.63,677.0,8766.0
2015,南昌市,南昌,4565,1.6210295728368018,74,9,7,13,45,75879.0,40000140.0,41.22,63.69,,63.69,63.69,648.0,51803.0
2016,南昌市,南昌,5303,1.5462945502545729,82,6,26,22,28,81598.0,43549927.0,42.85,81.82,14.24,96.06,96.07,1261.0,6000.0
2017,南昌市,南昌,5130,1.267056530214425,65,17,9,11,28,83943.0,,,98.28,11.83,110.11,110.11,1821.0,14530.0
2018,南昌市,南昌,6600,1.818181818181818,120,10,22,36,52,95825.0,52746716.0,45.94,101.17619,8.4397,109.61589,109.61589,1592.0,1834.45
2019,南昌市,南昌,7914,1.6426585797321205,130,19,19,23,69,100415.0,55960000.0,48.78,120.67226,0.29475,125.4523,125.4523,2211.0,4219.25
2020,南昌市,南昌,6863,1.894215357715285,130,20,14,34,62,92697.0,57460000.0,49.32,47.55401,71.03788,124.09129,124.09129,2404.0,2808.6
2021,南昌市,南昌,7157,1.564901495039821,112,17,14,24,57,104788.0,66510000.0,48.02,5.59201,125.20126,136.87717,136.87717,3434.0,792.0
2022,南昌市,南昌,6068,1.4337508239947263,87,7,21,22,37,111031.0,72040000.0,48.18,0.0,129.57049,135.64278,135.64278,3679.0,4024.0
2023,南昌市,南昌,6039,2.0202020202020203,122,10,17,43,52,110067.0,72130000.0,50.25,0.0,138.65301,147.3322,147.3322,3976.0,3890.0
2013,南通市,南通,5385,1.59702878365831,86,5,10,17,54,65696.0,50388916.0,41.08,4.75,44.21,48.96,48.96,790.0,8653.0
2014,南通市,南通,5459,1.575380106246565,86,9,13,26,38,77457.0,56526900.0,44.24,5.74,47.64,53.38,53.38,454.0,12315.0
2015,南通市,南通,5594,1.734000715051841,97,6,13,21,57,84236.0,61483955.0,45.8,3.41,56.47,59.88,59.88,500.0,11835.0
2016,南通市,南通,6036,1.5076209410205434,91,6,15,30,40,92702.0,67682000.0,47.74,10.49,61.49,71.98,71.98,573.0,7277.0
2017,南通市,南通,5953,1.8478078279858896,110,14,18,33,45,110003.0,77346425.0,,10.53,69.4,79.93,79.93,1592.0,5478.0
2018,南通市,南通,5965,2.4811399832355407,148,23,10,41,74,115320.0,84270000.0,48.43,4.98827,80.35507,85.34334,85.34334,1603.0,8038.42
2019,南通市,南通,5283,2.00643573727049,106,22,9,24,51,128294.0,93830000.0,46.39,8.45164,34.84625,43.2979,43.298,1610.0,6000.0
2020,南通市,南通,5377,1.76678445229682,95,17,10,21,47,129900.0,100360000.0,47.94,0.0,100.64143,100.64143,100.64143,1816.0,225256.0
2021,南通市,南通,5981,1.6050827620799195,96,20,16,28,32,142721.0,110270000.0,47.01,0.0,82.31623,82.31623,82.31623,2028.0,10056.0
2022,南通市,南通,5975,1.5230125523012552,91,13,15,27,36,147057.0,113800000.0,46.21,0.0,80.48649,80.48649,80.48649,2015.0,4170.0
2023,南通市,南通,5709,1.5764582238570677,90,8,30,20,32,152508.0,118130000.0,47.11,0.0,84.9514,84.9514,84.9514,1114.0,2440.0
2013,厦门市,厦门,4553,1.4056665934548649,64,6,14,17,27,81572.0,30181565.0,51.6,70.9,38.0,122.02,123.0,803.0,21850.0
2014,厦门市,厦门,4537,1.2342957901697156,56,4,8,22,22,86832.0,32735772.0,54.67,75.74,45.72,142.15,142.15,836.0,23000.0
2015,厦门市,厦门,4330,1.3394919168591224,58,11,9,20,18,90379.0,34660288.0,55.71,103.36,58.2,161.56,161.56,770.0,57005.0
2016,厦门市,厦门,5418,1.6611295681063123,90,11,14,36,29,97282.0,37842662.0,58.57,84.69,58.52,162.48,166.21,1028.0,50002.0
2017,厦门市,厦门,4862,1.9333607568901685,94,15,22,25,32,109740.0,,,109.66,55.67,189.24,189.24,1532.0,80650.0
2018,厦门市,厦门,4942,0.9510319708619992,47,9,4,12,22,118015.0,47914131.0,58.16,104.62,65.9983,198.93904,198.93904,1801.0,174291.0
2019,厦门市,厦门,5435,1.3983440662373503,76,16,5,19,36,142739.0,59950000.0,57.96,129.32549,97.67201,254.91801,254.91801,2057.0,100517.32
2020,厦门市,厦门,5285,1.6840113528855252,89,18,5,19,47,123962.0,63840000.0,60.08,59.97251,112.16618,202.22955,202.22955,3100.0,30440.0
2021,厦门市,厦门,5299,1.2266465370824684,65,10,7,22,26,134491.0,70340000.0,58.6,5.4615,154.0512,192.5079,192.5079,2986.0,28275.0
2022,厦门市,厦门,5162,1.549786904300659,80,7,14,24,35,147387.0,78030000.0,58.18,23.016,158.3883,223.83783,223.83783,2973.0,50105.0
2023,厦门市,厦门,4822,1.0576524263790958,51,4,8,20,19,151697.0,80660000.0,64.1,0.0,154.9206,200.69703,200.6971,2941.0,29550.0
2013,台州市,台州,5669,1.834538719350856,104,16,11,25,52,53086.0,31533369.0,45.17,47.33,22.22,69.55,69.55,539.0,1339.0
2014,台州市,台州,5583,1.84488626186638,103,20,6,27,50,56208.0,33873783.0,47.02,60.15,15.98,76.13,76.13,580.0,1497.0
2015,台州市,台州,6103,1.4582991971161725,89,20,5,27,37,58917.0,35538533.0,49.42,60.78,14.69,75.47,77.81,580.0,1876.0
2016,台州市,台州,2607,1.9562715765247407,51,8,7,18,18,64287.0,38986594.0,49.98,59.76,17.96,77.72,77.72,577.0,1199.0
2017,台州市,台州,6418,1.0127765659083825,65,4,6,14,41,71950.0,43882200.0,,57.94,51.63,109.57,109.57,738.0,3001.0
2018,台州市,台州,6066,1.1869436201780417,72,6,5,28,33,79541.0,48746696.0,49.8,60.8997,32.68791,93.5876,93.58807,710.0,2019.6
2019,台州市,台州,5439,0.882515168229454,48,4,4,12,28,83555.0,51340000.0,48.93,34.5639,46.10019,80.66409,80.66455,747.0,884.37
2020,台州市,台州,4697,1.0219288907813495,48,6,4,12,26,79889.0,52630000.0,50.73,29.0375,48.494,77.5315,77.5315,862.0,17573.0
2021,台州市,台州,5466,0.676911818514453,37,3,3,11,20,87089.0,57860000.0,50.8,0.0,80.74323,80.74323,80.74323,665.0,73453.0
